date,actualCovidCases,predictedCovidCases
2020-03-13,0.0,-203.9609519764781
2020-03-14,0.0,37.37616604194045
2020-03-15,0.0,137.45381020009518
2020-03-16,0.0,-416.2217804789543
2020-03-17,0.0,-871.8567886389792
2020-03-18,0.0,-6.380265969783068
2020-03-19,0.0,147.90944231674075
2020-03-20,0.0,-231.83600898832083
2020-03-21,0.0,16.84521960094571
2020-03-22,0.0,135.46024896204472
2020-03-23,0.0,-427.8593806363642
2020-03-24,0.0,-899.6212303452194
2020-03-25,0.0,36.62547340616584
2020-03-26,0.0,151.67533418163657
2020-03-27,0.0,-225.91436153277755
2020-03-28,0.0,24.19803025200963
2020-03-29,6.0,121.56870659440756
2020-03-30,6.0,-441.30162600427866
2020-03-31,6.0,-951.5544948913157
2020-04-01,6.0,-46.6007368080318
2020-04-02,8.0,86.46823296323419
2020-04-03,8.0,-315.753875579685
2020-04-04,16.0,9.464444406330585
2020-04-05,10.0,208.17986944690347
2020-04-06,10.0,-407.33775570988655
2020-04-07,14.000000000000002,-894.1339654661715
2020-04-08,15.0,12.099947277456522
2020-04-09,17.0,226.92854231223464
2020-04-10,19.0,-101.28695530816913
2020-04-11,11.000000000000002,191.54904467985034
2020-04-12,12.0,398.6196538992226
2020-04-13,15.0,-166.80601654574275
2020-04-14,11.000000000000002,-635.60362463817
2020-04-15,20.0,261.6555339284241
2020-04-16,27.0,503.40217715129256
2020-04-17,45.0,212.30743607506156
2020-04-18,180.0,547.2903532348573
2020-04-19,262.0,746.648962777108
2020-04-20,400.00000000000006,198.2568065263331
2020-04-21,580.0,-398.67434011772275
2020-04-22,683.0,472.64366498216987
2020-04-23,756.0,702.0274942182004
2020-04-24,785.0,290.25518333539367
2020-04-25,662.0,566.068233512342
2020-04-26,587.0,659.1795991547406
2020-04-27,446.0,115.88320417329669
2020-04-28,466.99999999999994,-486.647686958313
2020-04-29,368.0,461.5473341010511
2020-04-30,286.0,676.9874204881489
2020-05-01,310.0,346.9275058619678
2020-05-02,387.0,691.8235429935157
2020-05-03,484.99999999999994,855.3887796588242
2020-05-04,554.0,351.9107875227928
2020-05-05,390.0,-217.6567425392568
2020-05-06,450.0,870.2522452734411
2020-05-07,837.0000000000001,1009.1316257603467
2020-05-08,853.0,816.7517234198749
2020-05-09,764.0000000000001,1183.9392303675413
2020-05-10,707.0,1555.1586030609906
2020-05-11,698.0,962.941657025367
2020-05-12,1044.0,416.2770881317556
2020-05-13,1316.0,1417.3642468638718
2020-05-14,1114.0,1757.8307002969086
2020-05-15,1498.0,1553.0898482725024
2020-05-16,1906.0,1976.6147246584296
2020-05-17,2133.0,2213.5502235218883
2020-05-18,2356.0,1697.3707357048988
2020-05-19,2238.0,1091.5599143318832
2020-05-20,2334.0,1942.1331995911896
2020-05-21,2522.0,2208.2114814408123
2020-05-22,2379.0,1885.9244670532644
2020-05-23,2341.0,2246.01208711043
2020-05-24,2338.0,2536.1038332246244
2020-05-25,2286.0,2006.2018331699073
2020-05-26,2204.0,1225.2515612728894
2020-05-27,2072.0,2105.625107008964
2020-05-28,1928.0,2560.2627131156623
2020-05-29,1949.0000000000002,2083.4249880351126
2020-05-30,1808.0,2847.9258939810097
2020-05-31,1938.0000000000002,3227.2344769723713
2020-06-01,1975.0000000000002,2913.430040795356
2020-06-02,2289.0,2426.665524188429
2020-06-03,2278.0,3647.841097880155
2020-06-04,2403.0,4247.908002007753
2020-06-05,2469.0,4352.090219724923
2020-06-06,2589.0,5386.862846184522
2020-06-07,2521.0,5890.703134518117
2020-06-08,2611.0000000000005,5927.36527254805
2020-06-09,2618.0,5618.394352365285
2020-06-10,2703.0,6738.453865181655
2020-06-11,2832.9999999999995,6976.346372868866
2020-06-12,3083.0,6690.40456501767
2020-06-13,4281.0,7069.148264229298
2020-06-14,4824.0,7543.145413119346
2020-06-15,5070.0,7509.806705731899
2020-06-16,4639.0,7146.999689172953
2020-06-17,5212.0,8551.616454217583
2020-06-18,8610.0,9343.896716292948
2020-06-19,10171.0,9369.241914264858
2020-06-20,16349.0,10172.39416943863
2020-06-21,17190.0,10991.55705794692
2020-06-22,20175.0,11715.84370739758
2020-06-23,22813.0,12086.059463694692
2020-06-24,23980.0,14304.6992341429
2020-06-25,23424.0,14886.635171100497
2020-06-26,23522.0,15237.014744505286
2020-06-27,18007.0,16735.310244709253
2020-06-28,19594.0,18001.547262445092
2020-06-29,19633.0,18689.151887968183
2020-06-30,19035.0,19051.935290023685
2020-07-01,18555.0,20273.205321729183
2020-07-02,18242.0,20840.356093794107
2020-07-03,18533.0,20402.789287939668
2020-07-04,18955.0,20931.271932050586
2020-07-05,18732.0,20436.615199819207
2020-07-06,15853.0,19273.700334727764
2020-07-07,15869.0,18007.77154840529
2020-07-08,18207.0,18021.701619699597
2020-07-09,19219.0,17328.558771684766
2020-07-10,19070.0,16345.273219943047
2020-07-11,19436.0,16264.509132429957
2020-07-12,18629.0,15700.681791007519
2020-07-13,19224.0,14878.842384964228
2020-07-14,19019.0,13896.230468004942
2020-07-15,17500.0,14413.390579149127
2020-07-16,15467.0,14152.761033251882
2020-07-17,14607.0,13544.667683690786
2020-07-18,13582.0,13539.559493735433
2020-07-19,13166.0,13144.317335262895
2020-07-20,13606.0,12136.99967622757
2020-07-21,12882.0,11328.275019675493
2020-07-22,11951.0,11608.606518656015
2020-07-23,11372.0,11235.96965432167
2020-07-24,11630.0,10361.475498508662
2020-07-25,11794.0,10270.397465899587
2020-07-26,11741.000000000002,10086.915259882808
2020-07-27,11454.0,9247.518470529467
