date,actualCovidCases,predictedCovidCases
2020-03-13,0.0,-4468.945141047239
2020-03-14,0.0,-5570.883231073618
2020-03-15,0.0,-4673.483225941658
2020-03-16,0.0,-5977.680283278227
2020-03-17,0.0,-5791.55828243494
2020-03-18,0.0,-4816.256206840277
2020-03-19,0.0,-1559.0995709896088
2020-03-20,0.0,-3557.7356165349483
2020-03-21,0.0,-4807.124474555254
2020-03-22,0.0,-3989.101861536503
2020-03-23,0.0,-5871.856478750706
2020-03-24,0.0,-5389.810391396284
2020-03-25,0.0,-4389.076822936535
2020-03-26,0.0,-1833.9570817947388
2020-03-27,0.0,-4123.457878053188
2020-03-28,0.0,-6106.941352784634
2020-03-29,0.0,-5129.703553438187
2020-03-30,0.0,-6709.713265165687
2020-03-31,0.0,-5316.555584132671
2020-04-01,0.0,-3035.0266121029854
2020-04-02,0.0,1453.8430022001266
2020-04-03,0.0,997.8541475832462
2020-04-04,0.0,1566.9340376853943
2020-04-05,0.0,2656.8202760219574
2020-04-06,0.0,615.9747693240643
2020-04-07,0.0,752.4242163896561
2020-04-08,0.0,1312.7361173033714
2020-04-09,0.0,5109.412793427706
2020-04-10,0.0,1865.2033768892288
2020-04-11,0.0,-822.5223440527916
2020-04-12,0.0,-1339.6963486373425
2020-04-13,0.0,-3043.903978586197
2020-04-14,0.0,-3289.539946079254
2020-04-15,0.0,-2664.654742717743
2020-04-16,0.0,802.9972251057625
2020-04-17,0.0,-865.5406884551048
2020-04-18,0.0,-1095.7748066484928
2020-04-19,0.0,27.34178003668785
2020-04-20,0.0,-1688.0604888498783
2020-04-21,0.0,-2859.9364560842514
2020-04-22,0.0,-792.1358053684235
2020-04-23,0.0,3001.707235723734
2020-04-24,0.0,1699.6366764903069
2020-04-25,0.0,-888.5557062029839
2020-04-26,0.0,-1320.22973382473
2020-04-27,0.0,-3073.1865696907043
2020-04-28,0.0,-2727.7476361989975
2020-04-29,0.0,285.68077567219734
2020-04-30,0.0,3409.4683343172073
2020-05-01,0.0,3931.833944916725
2020-05-02,0.0,1800.9404007196426
2020-05-03,0.0,3838.158651083708
2020-05-04,0.0,1448.882869064808
2020-05-05,0.0,5801.328472882509
2020-05-06,0.0,8602.656504571438
2020-05-07,0.0,12647.383079648018
2020-05-08,0.0,10277.360245168209
2020-05-09,0.0,6953.83194065094
2020-05-10,0.0,7600.859687060118
2020-05-11,0.0,4330.3641085624695
2020-05-12,0.0,4591.903025984764
2020-05-13,0.0,4960.509596705437
2020-05-14,0.0,8473.764265477657
2020-05-15,0.0,7509.98750436306
2020-05-16,0.0,6457.475233286619
2020-05-17,0.0,6983.206103444099
2020-05-18,0.0,5698.083937585354
2020-05-19,0.0,5925.23514226079
2020-05-20,0.0,8154.143460869789
2020-05-21,0.0,14211.145175784826
2020-05-22,0.0,12646.925221204758
2020-05-23,0.0,12027.157857775688
2020-05-24,0.0,11349.924172401428
2020-05-25,0.0,10837.371994435787
2020-05-26,0.0,9486.506443440914
2020-05-27,0.0,14958.726267307997
2020-05-28,0.0,18494.403281509876
2020-05-29,0.0,18323.540685117245
2020-05-30,0.0,17860.33547270298
2020-05-31,0.0,16363.682706058025
2020-06-01,0.0,15747.094915151596
2020-06-02,0.0,10173.411116600037
2020-06-03,0.0,7845.109360933304
2020-06-04,0.0,2312.5107266902924
2020-06-05,0.0,-950.0155712366104
2020-06-06,0.0,-4539.819084405899
2020-06-07,0.0,-2947.0491122305393
2020-06-08,0.0,-1797.5624228715897
2020-06-09,0.0,-3950.8706815242767
2020-06-10,0.0,-3736.2724291682243
2020-06-11,0.0,-2791.6239763498306
2020-06-12,0.0,-4244.917548418045
2020-06-13,0.0,-7618.459256887436
2020-06-14,0.0,-2806.913904696703
2020-06-15,0.0,-246.51607316732407
2020-06-16,0.0,-1334.5276355445385
2020-06-17,0.0,-3522.940918505192
2020-06-18,0.0,-8612.393627464771
2020-06-19,0.0,-8560.009534239769
2020-06-20,0.0,-5321.737015515566
2020-06-21,0.0,1101.4090091586113
2020-06-22,0.0,1943.705750644207
2020-06-23,0.0,-2411.316578745842
2020-06-24,0.0,194.8492915034294
2020-06-25,0.0,-1997.7940947413445
2020-06-26,0.0,-5027.178873360157
2020-06-27,0.0,-9483.88520385325
2020-06-28,0.0,-8205.482110649347
2020-06-29,0.0,-2738.553095459938
2020-06-30,0.0,-5065.514343351126
2020-07-01,0.0,-4498.326934814453
2020-07-02,0.0,-4332.396491318941
2020-07-03,0.0,-4043.59464725852
2020-07-04,0.0,-3608.88094830513
2020-07-05,0.0,-5834.902215063572
2020-07-06,0.0,-4523.921221792698
2020-07-07,0.0,-3599.723779439926
2020-07-08,0.0,556.7533233463764
2020-07-09,0.0,914.0991200208664
2020-07-10,0.0,440.3224648833275
2020-07-11,0.0,-3832.219209611416
2020-07-12,0.0,-2729.9046581983566
2020-07-13,0.0,-1951.5249553918839
2020-07-14,0.0,-2825.6123347878456
2020-07-15,0.0,-2114.263108074665
2020-07-16,0.0,1106.2877452373505
2020-07-17,0.0,4194.520052105188
2020-07-18,0.0,6905.0496671795845
2020-07-19,0.0,5900.017316669226
2020-07-20,0.0,4051.871710449457
2020-07-21,0.0,3066.674805164337
2020-07-22,0.0,3847.0639978051186
2020-07-23,0.0,6349.387573122978
2020-07-24,0.0,1773.5401165485382
2020-07-25,0.0,-689.1278302669525
2020-07-26,0.0,830.2372588217258
2020-07-27,0.0,-0.3815487027168274
2020-07-28,0.0,240.25358712673187
2020-07-29,0.0,1166.1959788799286
2020-07-30,0.0,1560.4375351071358
2020-07-31,0.0,2788.6529837846756
2020-08-01,0.0,2482.269375503063
2020-08-02,0.0,6232.715067148209
2020-08-03,0.0,-524.0978417098522
2020-08-04,0.0,4111.0143030285835
2020-08-05,0.0,9784.282312989235
2020-08-06,0.0,16311.792082488537
2020-08-07,0.0,13174.276401519775
2020-08-08,0.0,5873.403022825718
2020-08-09,0.0,4498.566038668156
2020-08-10,0.0,347.31615310907364
2020-08-11,0.0,1913.8864476978779
2020-08-12,0.0,-775.1492571234703
2020-08-13,0.0,5938.108595490456
2020-08-14,0.0,6033.35078266263
2020-08-15,0.0,5838.79909914732
2020-08-16,0.0,8546.166947305202
2020-08-17,0.0,7716.252733051777
2020-08-18,0.0,8249.800264298916
2020-08-19,0.0,4640.695474088192
2020-08-20,0.0,4181.069188505411
2020-08-21,0.0,-554.5098169744015
2020-08-22,0.0,-3177.410413324833
2020-08-23,0.0,-1791.152404665947
2020-08-24,0.0,-6316.955933392048
2020-08-25,0.0,-5401.205979317427
2020-08-26,0.0,-6153.129095077515
2020-08-27,0.0,-3080.614051103592
2020-08-28,0.0,-4124.984072864056
2020-08-29,0.0,-5741.376997053623
2020-08-30,0.0,-3776.5054680407047
2020-08-31,0.0,-2690.999408811331
2020-09-01,0.0,-2118.6687237620354
2020-09-02,0.0,657.983281493187
2020-09-03,0.0,1858.5135563015938
2020-09-04,0.0,-1369.230761885643
2020-09-05,0.0,-2590.855592638254
2020-09-06,0.0,-51.20892322063446
2020-09-07,0.0,-1423.1817484498024
2020-09-08,0.0,-4228.71444684267
2020-09-09,0.0,-6044.769263505936
2020-09-10,0.0,-7142.909672111273
2020-09-11,0.0,-9182.653774887323
2020-09-12,0.0,-9529.072016716003
2020-09-13,0.0,-5961.362717092037
2020-09-14,0.0,-4121.870635449886
2020-09-15,0.0,-3154.6573923528194
2020-09-16,0.0,-3910.5994877815247
2020-09-17,0.0,-565.22370454669
2020-09-18,0.0,-3250.652502298355
2020-09-19,0.0,-5357.8264354765415
2020-09-20,0.0,-3788.3080412447453
2020-09-21,0.0,-4569.23140206933
2020-09-22,0.0,-1661.771783232689
2020-09-23,0.0,-1595.5781706273556
2020-09-24,0.0,1134.687687009573
2020-09-25,0.0,-835.6959489285946
2020-09-26,0.0,-2151.8710918724537
2020-09-27,0.0,-248.8613258600235
2020-09-28,0.0,-677.9484532773495
2020-09-29,0.0,-123.1690085530281
2020-09-30,0.0,369.21959230303764
2020-10-01,0.0,4790.572891831398
2020-10-02,0.0,4230.825682997704
2020-10-03,0.0,4763.340489089489
2020-10-04,0.0,5768.278724253178
2020-10-05,0.0,5290.416954338551
2020-10-06,0.0,4534.329870402813
2020-10-07,0.0,5876.5673334002495
2020-10-08,0.0,7624.518250286579
2020-10-09,0.0,5452.567522019148
2020-10-10,0.0,5126.325575590134
2020-10-11,0.0,6081.46661773324
2020-10-12,0.0,5405.67518645525
2020-10-13,0.0,4371.6324162483215
2020-10-14,0.0,2178.317504286766
2020-10-15,0.0,3459.708123832941
2020-10-16,0.0,-547.9929651319981
2020-10-17,0.0,-3182.2713437974453
2020-10-18,0.0,-3834.26176699996
2020-10-19,0.0,-5644.9265723228455
2020-10-20,0.0,-5064.545209646225
2020-10-21,0.0,-6370.992132499814
2020-10-22,0.0,-4960.130591660738
2020-10-23,0.0,-5719.733010977507
2020-10-24,0.0,-4719.042684704065
2020-10-25,0.0,-938.6784874498844
2020-10-26,0.0,-3164.717559814453
2020-10-27,0.0,-5115.479417800903
2020-10-28,0.0,-5745.507897675037
2020-10-29,0.0,-1215.9041438698769
2020-10-30,0.0,-1130.0709477066994
2020-10-31,0.0,-4270.9569755494595
2020-11-01,0.0,-5366.390932023525
2020-11-02,0.0,-8694.524529382586
2020-11-03,0.0,-10102.644006878138
2020-11-04,0.0,-10797.833374202251
2020-11-05,0.0,-9188.705137312412
2020-11-06,0.0,-12263.176254302263
2020-11-07,0.0,-11841.821847259998
2020-11-08,0.0,-11603.725282132626
2020-11-09,0.0,-13559.194179281592
2020-11-10,0.0,-13834.33785161376
2020-11-11,0.0,-14717.901628956199
2020-11-12,0.0,-11186.963449642062
2020-11-13,0.0,-15338.765308991075
2020-11-14,0.0,-17078.364124774933
2020-11-15,0.0,-16265.667931646109
2020-11-16,0.0,-15097.538772672415
2020-11-17,0.0,-12287.333374500275
2020-11-18,0.0,-11667.764416396618
2020-11-19,0.0,-8383.938798055053
2020-11-20,0.0,-9008.052001208067
2020-11-21,0.0,-7723.527594983578
2020-11-22,0.0,-6616.062136083841
2020-11-23,0.0,-6885.328686565161
2020-11-24,0.0,-6673.491574987769
2020-11-25,0.0,-6895.148478344083
2020-11-26,0.0,-2737.077773809433
2020-11-27,0.0,-1672.205868422985
2020-11-28,0.0,-186.73756608366966
2020-11-29,0.0,3728.4252441823483
2020-11-30,0.0,6030.145773559809
2020-12-01,0.0,6939.521320641041
2020-12-02,0.0,5954.58132481575
2020-12-03,0.0,9136.91371640563
2020-12-04,0.0,9255.908582150936
2020-12-05,0.0,10010.644983679056
2020-12-06,0.0,12933.615829110146
2020-12-07,0.0,11594.262874305248
2020-12-08,0.0,14267.723761081696
2020-12-09,0.0,13258.262901961803
2020-12-10,0.0,16050.609277188778
2020-12-11,0.0,13438.099523842335
2020-12-12,0.0,12817.90736952424
2020-12-13,0.0,14766.6902615726
2020-12-14,0.0,13442.78239825368
2020-12-15,0.0,14402.102670520544
2020-12-16,0.0,14940.483152002096
2020-12-17,0.0,18491.737527906895
2020-12-18,0.0,16362.20738440752
2020-12-19,0.0,16483.53987187147
2020-12-20,0.0,18169.211865842342
2020-12-21,0.0,17857.094852387905
2020-12-22,0.0,15978.31851631403
2020-12-23,0.0,13336.678791344166
2020-12-24,0.0,15379.653339803219
2020-12-25,0.0,14271.88009828329
2020-12-26,0.0,14545.98468631506
2020-12-27,0.0,14050.090924710035
2020-12-28,0.0,15598.545286893845
2020-12-29,0.0,15180.103368282318
2020-12-30,0.0,14380.367112755775
2020-12-31,0.0,14007.723756760359
2021-01-01,0.0,8421.001167207956
2021-01-02,0.0,4416.5712224543095
