date,actualCovidCases,predictedCovidCases
2020-03-13,3.0,10.374355241656303
2020-03-14,0.0,9.405260995030403
2020-03-15,4.0,10.899543032050133
2020-03-16,5.0,13.59079584479332
2020-03-17,8.0,21.41281832754612
2020-03-18,9.0,22.84582932293415
2020-03-19,5.0,19.415798649191856
2020-03-20,1.0,11.715104103088379
2020-03-21,3.0,10.63356976211071
2020-03-22,3.0,11.881384372711182
2020-03-23,3.0,14.436930283904076
2020-03-24,3.0,21.852541759610176
2020-03-25,5.0,22.9506304115057
2020-03-26,10.0,19.259341403841972
2020-03-27,2.0,11.63818646967411
2020-03-28,11.0,10.298286065459251
2020-03-29,23.0,11.988188803195953
2020-03-30,13.0,15.179213270545006
2020-03-31,27.999999999999996,23.185319170355797
2020-04-01,30.0,25.589371383190155
2020-04-02,24.999999999999996,23.202146664261818
2020-04-03,9.0,16.784997329115868
2020-04-04,13.999999999999998,16.28031127154827
2020-04-05,24.0,18.738021537661552
2020-04-06,16.0,22.387497648596764
2020-04-07,17.0,30.43215125799179
2020-04-08,8.0,31.848933160305023
2020-04-09,15.0,27.845284700393677
2020-04-10,6.999999999999999,19.51447407901287
2020-04-11,6.0,17.781548634171486
2020-04-12,11.0,18.23850427567959
2020-04-13,19.0,19.82180927693844
2020-04-14,20.0,27.10068905353546
2020-04-15,19.0,28.325138568878174
2020-04-16,27.0,24.65078979730606
2020-04-17,4.0,16.93067468702793
2020-04-18,6.999999999999999,15.57072351872921
2020-04-19,15.0,16.975728198885918
2020-04-20,30.0,19.977754846215248
2020-04-21,15.0,28.30360770225525
2020-04-22,8.0,29.638012647628784
2020-04-23,16.0,25.81802988052368
2020-04-24,9.0,18.062322929501534
2020-04-25,12.0,16.685295656323433
2020-04-26,24.0,17.742103323340416
2020-04-27,32.0,20.529515102505684
2020-04-28,20.0,28.28786426782608
2020-04-29,41.0,30.106199145317078
2020-04-30,18.0,27.630241990089417
2020-05-01,40.0,20.140516981482506
2020-05-02,39.0,20.01254014670849
2020-05-03,55.0,22.929816469550133
2020-05-04,36.0,28.115964233875275
2020-05-05,30.0,36.721309304237366
2020-05-06,33.0,39.28832745552063
2020-05-07,37.0,36.449542820453644
2020-05-08,16.0,29.78063440322876
2020-05-09,27.999999999999996,27.58940041065216
2020-05-10,34.0,29.68918025493622
2020-05-11,35.0,31.694609344005585
2020-05-12,43.0,39.833988070487976
2020-05-13,42.0,40.32343369722366
2020-05-14,39.0,36.48270058631897
2020-05-15,37.0,27.99326604604721
2020-05-16,36.0,27.147531986236572
2020-05-17,44.0,29.245918452739716
2020-05-18,64.0,32.831565141677856
2020-05-19,55.0,41.756664395332336
2020-05-20,33.0,44.52481460571289
2020-05-21,72.0,41.169873118400574
2020-05-22,29.0,35.10242980718613
2020-05-23,55.99999999999999,33.9055934548378
2020-05-24,55.99999999999999,36.57846784591675
2020-05-25,92.0,39.99029499292374
2020-05-26,52.0,50.18299800157547
2020-05-27,64.0,51.692997455596924
2020-05-28,75.0,49.398815393447876
2020-05-29,27.999999999999996,42.6106835603714
2020-05-30,40.0,41.015601336956024
2020-05-31,10.0,41.82891768217087
2020-06-01,27.999999999999996,43.98920249938965
2020-06-02,29.0,49.420803010463715
2020-06-03,41.0,49.46602129936218
2020-06-04,43.0,43.53364312648773
2020-06-05,49.0,33.510232627391815
2020-06-06,23.0,29.972562074661255
2020-06-07,9.0,29.565279483795166
2020-06-08,48.0,30.348062932491302
2020-06-09,30.999999999999996,36.69252824783325
2020-06-10,38.0,38.22520911693573
2020-06-11,67.0,34.12537133693695
2020-06-12,73.0,28.175839006900787
2020-06-13,40.0,28.807842791080475
2020-06-14,10.0,31.0327028632164
2020-06-15,68.0,32.947614431381226
2020-06-16,42.0,42.06332314014435
2020-06-17,98.0,43.30394393205643
2020-06-18,105.99999999999999,42.2273485660553
2020-06-19,41.0,37.61026120185852
2020-06-20,60.0,36.91627234220505
2020-06-21,10.0,39.92640197277069
2020-06-22,27.999999999999996,42.225833773612976
2020-06-23,13.0,48.71795666217804
2020-06-24,3.0,47.760804414749146
2020-06-25,47.0,42.011600494384766
2020-06-26,16.0,33.619985699653625
2020-06-27,8.0,28.471385419368744
2020-06-28,5.0,26.884767532348633
2020-06-29,27.999999999999996,25.437631964683533
2020-06-30,26.0,29.206088662147522
2020-07-01,20.0,29.00779539346695
2020-07-02,12.0,23.3037880808115
2020-07-03,13.999999999999998,15.226365521550179
2020-07-04,55.0,14.370395049452782
2020-07-05,1.0,17.582587584853172
2020-07-06,34.0,20.27086429297924
2020-07-07,11.0,27.614527463912964
2020-07-08,17.0,28.74585771560669
2020-07-09,11.0,25.888733685016632
2020-07-10,11.0,17.81164212524891
2020-07-11,20.0,16.402411058545113
2020-07-12,3.0,17.505229100584984
2020-07-13,9.0,19.95393155515194
2020-07-14,71.0,26.59547108411789
2020-07-15,30.0,29.96340972185135
2020-07-16,10.0,25.041756570339203
2020-07-17,11.0,17.743519827723503
2020-07-18,29.0,16.19675485789776
2020-07-19,15.0,19.472493514418602
2020-07-20,13.999999999999998,22.35502500832081
2020-07-21,12.0,30.03999924659729
2020-07-22,23.0,30.812005698680878
2020-07-23,16.0,27.502525329589844
2020-07-24,20.0,19.26925115287304
2020-07-25,16.0,18.353079244494438
2020-07-26,10.0,17.797745928168297
2020-07-27,20.0,19.913708612322807
2020-07-28,12.0,27.775320947170258
2020-07-29,68.0,28.948868811130524
2020-07-30,19.0,26.7832533121109
2020-07-31,10.0,19.138510689139366
2020-08-01,38.0,18.126640900969505
